date,sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
20251201,1,8035.T,0.0,0.0,0.0,0.0
20251201,10,8035.T,0.0,0.0,0.0,0.0
20251202,1,8035.T,0.0,0.0,0.0,0.0
20251202,10,8035.T,0.0,0.0,0.0,0.0
20251203,1,8035.T,0.0,0.0,0.0,0.0
20251203,10,8035.T,0.0,0.0,0.0,0.0
20251204,1,8035.T,0.0,0.0,0.0,0.0
20251204,10,8035.T,0.0,0.0,0.0,0.0
20251205,1,8035.T,0.0,0.0,0.0,0.0
20251205,10,8035.T,0.0,0.0,0.0,0.0
20251208,1,8035.T,0.0,0.0,0.0,0.0
20251208,10,8035.T,0.0,0.0,0.0,0.0
20251209,1,8035.T,0.0,0.0,0.0,0.0
20251209,10,8035.T,0.0,0.0,0.0,0.0
20251210,1,8035.T,0.0,0.0,0.0,0.0
20251210,10,8035.T,0.0,0.0,0.0,0.0
20251211,1,8035.T,0.0,0.0,0.0,0.0
20251211,10,8035.T,0.0,0.0,0.0,0.0
20251212,1,8035.T,0.0,0.0,0.0,0.0
20251212,10,8035.T,0.0,0.0,0.0,0.0
20251215,1,8035.T,0.0,0.0,0.0,0.0
20251215,10,8035.T,0.0,0.0,0.0,0.0
20251216,1,8035.T,0.0,0.0,0.0,0.0
20251216,10,8035.T,0.0,0.0,0.0,0.0
20251217,1,8035.T,0.0,0.0,0.0,0.0
20251217,10,8035.T,0.0,0.0,0.0,0.0
20251218,1,8035.T,0.0,0.0,0.0,0.0
20251218,10,8035.T,0.0,0.0,0.0,0.0
20251219,1,8035.T,0.0,0.0,0.0,0.0
20251219,10,8035.T,0.0,0.0,0.0,0.0
20251222,1,8035.T,0.0,0.0,0.0,0.0
20251222,10,8035.T,0.0,0.0,0.0,0.0
20251223,1,8035.T,0.0,0.0,0.0,0.0
20251223,10,8035.T,0.0,0.0,0.0,0.0
20251224,1,8035.T,0.0,0.0,0.0,0.0
20251224,10,8035.T,0.0,0.0,0.0,0.0
20251225,1,8035.T,0.0,0.0,0.0,0.0
20251225,10,8035.T,0.0,0.0,0.0,0.0
20251226,1,8035.T,0.0,0.0,0.0,0.0
20251226,10,8035.T,0.0,0.0,0.0,0.0
20251229,1,8035.T,0.0,0.0,0.0,0.0
20251229,10,8035.T,0.0,0.0,0.0,0.0
20251230,1,8035.T,0.0,0.0,0.0,0.0
20251230,10,8035.T,0.0,0.0,0.0,0.0
20251231,1,8035.T,0.0,0.0,0.0,0.0
20251231,10,8035.T,0.0,0.0,0.0,0.0
20260101,1,8035.T,0.0,0.0,0.0,0.0
20260101,10,8035.T,0.0,0.0,0.0,0.0
20260102,1,8035.T,0.0,0.0,0.0,0.0
20260102,10,8035.T,0.0,0.0,0.0,0.0
20260105,1,8035.T,0.0,0.0,0.0,0.0
20260105,10,8035.T,0.0,0.0,0.0,0.0
20260106,1,8035.T,0.0,0.0,0.0,0.0
20260106,10,8035.T,0.0,0.0,0.0,0.0
20260107,1,8035.T,0.0,0.0,0.0,0.0
20260107,10,8035.T,0.0,0.0,0.0,0.0
20260108,1,8035.T,0.0,0.0,0.0,0.0
20260108,10,8035.T,0.0,0.0,0.0,0.0
20260109,1,8035.T,0.0,0.0,0.0,0.0
20260109,10,8035.T,0.0,0.0,0.0,0.0
20260112,1,8035.T,0.0,0.0,0.0,0.0
20260112,10,8035.T,0.0,0.0,0.0,0.0
20260113,1,4568.T,-3090.5763712099542,-4323.418326964165,-3861.8826102863136,-5014.8200981797945
20260113,1,7011.T,-2504.700227839847,-3410.4024428635416,-3042.731982648876,-3961.9128472580182
20260113,1,8035.T,-2156.0831060260057,-2899.3271335276013,-2636.124734756556,-3502.7833682153773
20260113,10,4568.T,-7973.942646448293,-13168.616560948029,-10962.097467686966,-14854.156428707103
20260113,10,7011.T,-7347.031832159155,-10578.925495930333,-9317.941353212464,-11752.802009578114
20260113,10,8035.T,-6556.082115689344,-9670.06122322602,-8437.048257680994,-10875.571139750036
20260114,1,4568.T,-3753.45495594219,-5087.794493414943,-4692.637167882802,-6374.25275871851
20260114,1,7011.T,-2925.1366725786484,-3841.930191506682,-3479.0175556274985,-4196.466095142814
20260114,1,8035.T,-2504.9782791808034,-3442.1696583897847,-3062.6838192180403,-3956.759362440186
20260114,10,4568.T,-9633.074463187124,-14630.889499350356,-13086.215784927506,-16807.162199696446
20260114,10,7011.T,-7932.196020199879,-11726.232899433682,-10209.118859586706,-13477.530515328128
20260114,10,8035.T,-7289.1236904902225,-10932.50223781421,-9712.375016404229,-13076.969767689274
20260115,1,4568.T,-3791.5992225820687,-5390.954631094466,-4809.649218053587,-6533.6814082825085
20260115,1,7011.T,-2906.632949468421,-3980.1436190084814,-3594.807835342147,-4478.3991897891565
20260115,1,8035.T,-2941.6796133581324,-4057.5869565021967,-3647.641208601355,-4729.939732463527
20260115,10,4568.T,-9290.564015399235,-12854.17651952488,-11342.717336938002,-14412.86065389482
20260115,10,7011.T,-8091.380375778567,-11335.30816281714,-10019.871171950108,-12983.057990343415
20260115,10,8035.T,-6970.849924876612,-11012.410753638856,-9327.19151808432,-12924.252836066187
20260116,1,4568.T,-3419.8855895505585,-4700.7467941671075,-4278.315107022205,-5548.546593836777
20260116,1,7011.T,-2496.945464266791,-3319.4663359023657,-3054.240072812494,-3918.847787335714
20260116,1,8035.T,-2530.235662194598,-3480.7775178274615,-3200.916670019684,-4129.873632691383
20260116,10,4568.T,-7990.447482291983,-12712.714193913052,-11455.703838969888,-17351.439701941494
20260116,10,7011.T,-6550.343533289888,-10352.118448615089,-8848.336719628915,-12770.05679970642
20260116,10,8035.T,-6913.979719979977,-10832.250315167374,-9540.80003840913,-14707.431256071166
20260119,1,4568.T,-3513.5398604648053,-4831.264901777367,-4216.259868375127,-5356.24928223929
20260119,1,7011.T,-2342.089251053275,-3264.9471077940825,-2946.639229565847,-3662.09753223176
20260119,1,8035.T,-2447.798458056073,-3622.623990507147,-3157.3732145696126,-4036.322174746104
20260119,10,4568.T,-8920.248635199085,-14332.47798407423,-12328.585357294867,-16788.22035236544
20260119,10,7011.T,-7036.9177116776345,-10145.700094743255,-9193.107769708717,-11913.648614397618
20260119,10,8035.T,-6997.924222764771,-11357.012608975716,-9585.576820613176,-13055.535472397376
20260120,1,4568.T,-3225.77264715998,-4554.559922309101,-4237.182860492092,-5310.103014430887
20260120,1,7011.T,-2230.0647356622767,-3262.577425519087,-2909.7003001566127,-4032.381441209384
20260120,1,8035.T,-2628.4914079556984,-3489.4555911560874,-3221.3674666195743,-4197.680946232106
20260120,10,4568.T,-8628.282998428424,-13919.827794439476,-11592.70896058853,-16775.317629306446
20260120,10,7011.T,-7029.646028873731,-11334.5715393567,-9382.84492029647,-12995.151879982152
20260120,10,8035.T,-7422.05708664624,-10608.453917851306,-9433.924301378847,-12550.977170872406
20260121,1,4568.T,-3421.402129414585,-4600.335150097002,-4120.890110768966,-5216.376800648911
20260121,1,7011.T,-2453.852197706777,-3519.3132844749884,-3091.758828256892,-4056.370047613592
20260121,1,8035.T,-2509.802983776251,-3356.6068567472407,-3070.4531914654485,-4135.116923110584
20260121,10,4568.T,-7903.274596538598,-12737.093580623725,-10499.971061371923,-14509.08073800733
20260121,10,7011.T,-6613.400836140548,-9249.061103898202,-8617.290131979633,-11634.020365944558
20260121,10,8035.T,-6305.082594010669,-8850.08874195381,-8025.660292177859,-10759.096218012
20260122,1,4568.T,-2914.0751994483735,-4080.166607211311,-3678.20850720057,-4746.0993118663255
20260122,1,7011.T,-2343.920970540695,-3026.843705004382,-2761.9092050803692,-3421.2713822415835
20260122,1,8035.T,-2038.219793619866,-2805.6408443816367,-2535.943038982635,-3232.603679078786
20260122,10,4568.T,-8169.304951685894,-12638.140220990064,-10782.379566373473,-14809.390520376191
20260122,10,7011.T,-7209.262651857662,-10304.066356158772,-9150.732913749467,-11875.800703661662
20260122,10,8035.T,-6183.308189953611,-9875.091684973577,-8457.483418378142,-11795.217694394796
20260123,1,4568.T,-3069.0294393337867,-4140.6358145962095,-3695.660040426655,-4525.066988992575
20260123,1,7011.T,-2348.7178142336415,-3416.623769157606,-2971.605976735345,-3763.815792562258
20260123,1,8035.T,-2190.900188488883,-3068.759099914734,-2730.4097373226596,-3457.603505703047
20260123,10,4568.T,-8636.37380526219,-12124.395772397054,-10867.148289950272,-13890.35324855614
20260123,10,7011.T,-7150.262528302515,-10048.522422025922,-8936.04386487603,-11173.313541710955
20260123,10,8035.T,-6257.409467304472,-9210.75372494389,-8230.821268179248,-11490.430021957542
20260126,1,4568.T,-2975.0547660644033,-4109.492638059974,-3706.532940104435,-4811.129178307935
20260126,1,7011.T,-2192.545268572006,-2992.6865175800435,-2729.3223215103767,-3513.5872257202195
20260126,1,8035.T,-2123.16233744575,-2892.4458591678062,-2637.1483658914926,-3405.521348949889
20260126,10,4568.T,-8511.825294247732,-12159.264401771288,-10776.332744681456,-13503.124782745184
20260126,10,7011.T,-6696.125718465862,-9481.615593676725,-8479.321754424265,-11074.76066392368
20260126,10,8035.T,-6738.511614210206,-9301.844778075656,-8529.138894482257,-11519.69862742492
20260127,1,4568.T,-3078.6680672547027,-4257.978349045449,-3758.502226330118,-4696.871436717038
20260127,1,7011.T,-2181.8290145097812,-3115.253539909735,-2745.0815676625016,-3403.6405961610085
20260127,1,8035.T,-2033.868765415868,-2786.9306211036437,-2580.8581778000485,-3337.2316150846864
20260127,10,4568.T,-8277.768724641872,-12028.854164553886,-10627.23224341528,-13541.462418002866
20260127,10,7011.T,-7302.173419096624,-9872.119420340689,-8850.944176973751,-11015.190261276974
20260127,10,8035.T,-6627.19851564806,-9679.340827817274,-8448.239072937671,-10945.850183742255
20260128,1,4568.T,-2912.5256314039057,-4259.475356511571,-3839.9797871442224,-5265.121614119018
20260128,1,7011.T,-2457.512831082852,-3469.4429378282584,-3078.924082965171,-4082.789411223672
20260128,1,8035.T,-2105.356483311911,-2956.051956280734,-2631.5480542414375,-3219.0772390081124
20260128,10,4568.T,-7376.736389016044,-11720.510741385518,-9986.901173767355,-13566.574708853028
20260128,10,7011.T,-7017.831040880788,-9866.68279516781,-8743.983529149014,-10766.807777647246
20260128,10,8035.T,-5875.087955471619,-8558.041518822773,-7510.748829449499,-9522.874846482588
20260129,1,4568.T,-3064.6210429904568,-4622.028516578711,-3983.4076109892426,-5278.91902569989
20260129,1,7011.T,-2519.843506389355,-3505.842723700314,-3170.8834377649573,-3803.5434567180914
20260129,1,8035.T,-2228.440591813759,-3161.998272394639,-2844.52697392749,-3771.5658182820503
20260129,10,4568.T,-7838.793157940476,-11927.61296083709,-10411.090021132444,-14637.400509761956
20260129,10,7011.T,-6624.93003786439,-9589.625423339356,-8582.737372670399,-11355.50648922447
20260129,10,8035.T,-6492.8590730759315,-9263.798593373824,-8146.477083825572,-10460.423199156045
20260130,1,4568.T,-3462.542682738698,-4630.154829114354,-4182.030955771524,-5284.767837421516
20260130,1,7011.T,-2550.793768566284,-3420.026732039039,-3152.902310720277,-3967.084580793786
20260130,1,8035.T,-2090.6715693092856,-3033.8395543478086,-2657.598109842615,-3382.63467267796
20260130,10,4568.T,-9047.517277663854,-12585.342339339952,-11108.256931569484,-14720.265341617114
20260130,10,7011.T,-6863.939658368377,-10856.994675043496,-9060.515618890491,-12120.865457159463
20260130,10,8035.T,-6226.566929425349,-8513.566178778605,-7965.800147135602,-10624.912926180035
20260202,1,4568.T,-2824.248360971131,-3954.5150546160426,-3577.5944285885257,-4396.613287398864
20260202,1,7011.T,-2339.582587754211,-3086.5558842357427,-2817.307944771432,-3449.5327369108554
20260202,1,8035.T,-1949.3302667526507,-2791.74909732562,-2526.641460883703,-3276.0559649752636
20260202,10,4568.T,-7239.445259079461,-10486.342051852422,-9602.888762728093,-13214.896219012036
20260202,10,7011.T,-6652.530922376159,-9606.19138623114,-8490.463510824027,-11510.257117561
20260202,10,8035.T,-5969.957250150104,-8358.693366183052,-7731.986068759405,-10442.704981696912
20260203,1,4568.T,-2862.292672615632,-4243.305560558557,-3705.846430827059,-4632.999551362593
20260203,1,7011.T,-2393.4521920446387,-3396.652638479262,-3018.8917099431565,-3865.4866133759815
20260203,1,8035.T,-1956.9208517459408,-2808.4947079340077,-2475.2966038079003,-3250.3795456695543
20260203,10,4568.T,-7522.920085567185,-12110.062044212116,-10730.958063297348,-15301.024800051386
20260203,10,7011.T,-6507.975547129969,-9462.044580975791,-8521.540508410304,-11000.352253582376
20260203,10,8035.T,-6059.666841970708,-9470.038021495264,-8241.686675712543,-12068.7115655813
20260204,1,4568.T,-3218.606195557411,-4468.6369274153685,-3903.398267700398,-4854.8648011770365
20260204,1,7011.T,-2481.427034268419,-3352.3502642189865,-3062.030355294983,-3868.6890872142744
20260204,1,8035.T,-2175.6398960974902,-3203.9233212034737,-2800.240067651931,-3548.4593071292593
20260204,10,4568.T,-8340.845612670668,-12346.799185834583,-10987.187265662218,-15017.28102197663
20260204,10,7011.T,-7377.0258667342605,-10070.734152470592,-9083.957758558923,-11679.983615125971
20260204,10,8035.T,-6727.295821705228,-9143.040386045368,-8459.98544957215,-11387.99337230149
20260205,1,4568.T,-2831.7397738654868,-3994.81836693338,-3672.2094939456047,-4780.357398102511
20260205,1,7011.T,-2291.637846898973,-3363.542229204744,-3008.0298470236557,-3854.1272724855057
20260205,1,8035.T,-2095.41185734469,-2967.7993314157693,-2641.6690810215405,-3364.966538218288
20260205,10,4568.T,-7472.987453051952,-11569.215868654132,-10059.840599541818,-14005.858510537431
20260205,10,7011.T,-6527.393964193935,-9360.00143328444,-8263.318204040934,-10484.395916954329
20260205,10,8035.T,-5937.604247425898,-8591.516782389159,-7721.613444069256,-10147.93305160267
20260206,1,4568.T,-2941.680218897052,-3914.893638421492,-3605.1522633985815,-4463.6232371709175
20260206,1,7011.T,-2268.2168628959503,-3295.1468900557156,-2897.2167725321474,-3694.682486760212
20260206,1,8035.T,-2132.475328254847,-2867.156102102146,-2615.4124639024467,-3249.8994370354
20260206,10,4568.T,-7997.396227079314,-12572.021070529085,-10421.105919348836,-14237.41750665057
20260206,10,7011.T,-6813.357486413694,-9759.11736393438,-8698.567262065537,-11535.612367938764
20260206,10,8035.T,-5680.840758243897,-8215.774915386517,-7380.630802153988,-10252.722745642222
20260209,1,4568.T,-3105.043482727616,-4310.211045663694,-3880.9821483211226,-4992.1169229210045
20260209,1,7011.T,-2393.813892730846,-3200.6570202796593,-2998.8173390898246,-3822.700255396658
20260209,1,8035.T,-2112.3927844044138,-3106.0726139779063,-2740.246585896968,-3565.7987536750734
20260209,10,4568.T,-7320.5723715809245,-12140.622061676067,-10189.8691245959,-13974.570637049948
20260209,10,7011.T,-6403.746684894262,-9374.12752400996,-8340.687420300846,-11416.860076094914
20260209,10,8035.T,-6436.763230201923,-9271.449861184314,-8248.514245208578,-10761.62381799348
20260210,1,4568.T,-2769.2588604855646,-4424.284521270112,-3804.931545739088,-4940.131354311292
20260210,1,7011.T,-2264.8688660629273,-3260.1074576745345,-2825.0248584688634,-3461.1961093800965
20260210,1,8035.T,-2139.2435272889816,-3191.5801323655396,-2828.3415607064676,-3730.823193526144
20260210,10,4568.T,-7958.5744724631295,-12002.311215943831,-10652.61248965026,-14401.751744218182
20260210,10,7011.T,-6560.69651691318,-10750.37287676111,-8740.951070382685,-11460.822222928156
20260210,10,8035.T,-6196.713324950139,-9909.31981538064,-8378.491224557625,-10933.600695854177
20260211,1,4568.T,-3045.937911213569,-4618.980840558639,-3992.839581440005,-5406.585028753223
20260211,1,7011.T,-2394.119618322078,-3288.772498146625,-2901.8244342346666,-3640.5030653242975
20260211,1,8035.T,-2379.487845942179,-3550.861515122016,-2965.4703190240393,-3744.635326454594
20260211,10,4568.T,-8160.918452217687,-12214.348434134465,-10963.266945135028,-15494.001819449366
20260211,10,7011.T,-6640.2819369160725,-9157.01027975368,-8466.716079561367,-11061.352589498996
20260211,10,8035.T,-6459.360904239317,-9547.726280795112,-8293.422233945521,-11111.824359728736
20260212,1,4568.T,-3131.4181999792363,-4401.244287368876,-4016.25372194788,-4931.440834957967
20260212,1,7011.T,-2157.6952305070813,-2975.147285716831,-2719.652807301575,-3291.957316682298
20260212,1,8035.T,-2262.9202854242003,-3307.102026822297,-2924.63372659412,-3834.072832480603
20260212,10,4568.T,-8434.605867815037,-12602.711614127653,-11350.855379934274,-15239.388064909255
20260212,10,7011.T,-6799.052857454344,-9826.949608749184,-8675.350940225473,-11171.886285317229
20260212,10,8035.T,-6410.191705422749,-9702.372982336534,-8468.659181422552,-11252.081954615478
20260213,1,4568.T,-3054.2149338685817,-4425.281546119582,-3898.197064991049,-5148.927039651938
20260213,1,7011.T,-2237.2698107196743,-3190.9138964104195,-2783.190747010039,-3584.4518296907786
20260213,1,8035.T,-2357.47209513746,-3368.0146592332885,-3002.1045354120743,-3775.0636397836233
20260213,10,4568.T,-7639.744999363274,-11445.146387493967,-10111.70552327448,-13501.555483681306
20260213,10,7011.T,-6719.494767324691,-9074.308294287204,-8347.935442779344,-10397.195091392616
20260213,10,8035.T,-6199.742267761109,-9450.93317920207,-8168.411019912687,-11543.405615876183
20260216,1,4568.T,-3038.992383266442,-4555.685927595892,-3924.9285416928233,-4943.0413964859345
20260216,1,7011.T,-2346.1169160784,-3394.433201619456,-2945.4875738564424,-3813.543059774974
20260216,1,8035.T,-2259.5012861405353,-3096.18402441115,-2806.485061810909,-3372.099675317525
20260216,10,4568.T,-8007.835493796247,-12660.876976408576,-10740.945254177735,-13958.03277314885
20260216,10,7011.T,-6682.718461294963,-9498.736757194934,-8559.707388627387,-11823.912485103016
20260216,10,8035.T,-5876.1562831901565,-10050.193964602471,-8017.997036452488,-11186.806637955971
20260217,1,4568.T,-2902.6686176746643,-4226.2404691052425,-3734.79750467151,-4617.934109411946
20260217,1,7011.T,-2230.219656263243,-3086.796773007767,-2778.9787679196825,-3593.2113939491587
20260217,1,8035.T,-1971.682334731378,-2964.308103594444,-2553.7342798289583,-3291.295518682879
20260217,10,4568.T,-8039.132254115828,-11291.583907776225,-10341.16059464309,-13662.635877178773
20260217,10,7011.T,-6734.361720197218,-10201.243232847431,-8705.648153743292,-11585.906676886234
20260217,10,8035.T,-6290.781613229717,-9124.967544706407,-8000.954927878492,-10213.245891666336
20260218,1,4568.T,-3009.359582031128,-4627.030116663399,-4010.264963708321,-5129.971245161361
20260218,1,7011.T,-2259.6405511502953,-3072.271417221012,-2813.3577023066846,-3470.739833112516
20260218,1,8035.T,-2255.902599417777,-3546.316501802779,-2905.26446855821,-3784.7906346867862
20260218,10,4568.T,-8045.700149597765,-11838.20166871362,-10158.216452573986,-13196.627767082891
20260218,10,7011.T,-6474.464300190664,-9593.112048446324,-8232.027844643628,-10396.815376323497
20260218,10,8035.T,-5735.532125179431,-8721.370300737946,-7686.354374004316,-10269.724712247062
20260219,1,4568.T,-3100.899957815619,-4124.007164838822,-3832.9950810247096,-4886.811614392138
20260219,1,7011.T,-2228.038930568751,-3074.0731348169024,-2806.307641952137,-3919.0800272075694
20260219,1,8035.T,-2071.910656180919,-3058.2634840766136,-2697.124060043423,-3431.879076270947
20260219,10,4568.T,-8561.694648506038,-12180.431383685242,-11178.879286837306,-15717.477753412995
20260219,10,7011.T,-6573.673109786005,-10164.375827853157,-8727.294778217523,-11824.599144932983
20260219,10,8035.T,-6092.5027894076065,-9784.29368264978,-8555.176631735898,-12275.212834193904
20260220,1,4568.T,-2821.182948439317,-4148.692791008028,-3684.373870928325,-4847.064447004404
20260220,1,7011.T,-2230.756623930465,-3380.242386726368,-2876.658879110082,-3798.1489127362465
20260220,1,8035.T,-2017.917997219635,-2945.538836677335,-2569.120161314964,-3404.749398524822
20260220,10,4568.T,-7905.22551196095,-12727.32752789534,-10792.64335953014,-14654.336050073727
20260220,10,7011.T,-6760.81635195112,-9882.25471800942,-8777.957712202318,-11792.172486570576
20260220,10,8035.T,-6259.294467809507,-9238.680034984824,-8151.800108224743,-11013.625161659753
20260223,1,4568.T,-3384.421603336518,-4774.816044904802,-4256.609753829136,-5237.253031942205
20260223,1,7011.T,-2495.092585717543,-3334.3313103195683,-3036.573207785826,-3709.2814753225625
20260223,1,8035.T,-2242.185232876428,-2983.2469485587117,-2784.058633754162,-3689.960939572766
20260223,10,4568.T,-8346.408209629108,-12767.424907307171,-10468.032729062525,-14149.288356616004
20260223,10,7011.T,-6615.835536307237,-9128.351082458785,-8522.585561769745,-11057.511000644236
20260223,10,8035.T,-6175.097674350211,-9124.337532748856,-7843.0037538978095,-9996.58535919253
